,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK
498,203552,Seth Curry,Seth,1610612766,CHA,33.0,44,25,19,0.568,615.4133333333333,2.7,3.2,1.6,3.3,16.5,14.9,15.0,48.8,0.5,0.7,3.0,2.2,34.1,326,247,226,231,332,304,165,393,505,275,412,361,312,409,199,147,379,440
499,1641754,Seth Lundy,Seth,1610612737,ATL,24.0,9,2,7,0.222,51.983333333333334,2.8,2.8,2.8,0.0,29.5,15.7,14.8,66.5,0.0,1.8,5.5,2.8,19.8,498,511,93,502,517,296,223,228,551,563,466,335,13,520,529,492,304,557
500,1631101,Shaedon Sharpe,Shaedon,1610612757,POR,20.0,32,8,24,0.25,1059.0183333333334,4.4,3.0,3.1,8.2,17.7,14.9,16.7,56.8,0.5,1.5,4.0,5.2,40.4,385,423,282,474,249,75,192,190,285,372,413,467,49,375,472,319,82,310
501,1628983,Shai Gilgeous-Alexander,Shai,1610612760,OKC,25.0,75,55,20,0.733,2552.6866666666665,7.2,2.5,4.9,20.1,13.6,15.1,11.9,45.8,1.3,1.4,3.5,9.0,74.1,76,14,237,41,28,6,248,44,16,54,436,86,456,160,459,219,5,9
502,1629003,Shake Milton,Shake,1610612752,NYK,27.0,48,32,16,0.667,581.16,4.1,2.5,3.4,8.8,17.1,14.5,15.3,48.7,0.5,1.4,4.5,3.6,36.3,306,183,184,76,341,96,259,169,266,326,377,378,321,395,452,381,196,399
503,1627885,Shaquille Harrison,Shaquille,1610612763,MEM,30.0,3,1,2,0.333,5.966666666666667,0.0,0.0,0.0,16.1,0.0,8.0,24.1,64.4,8.0,0.0,0.0,0.0,59.5,549,538,28,432,562,518,517,518,56,1,21,562,15,2,1,1,547,42
504,1631321,Sidy Cissoko,Sidy,1610612759,SAS,20.0,12,5,7,0.417,140.91833333333332,2.0,2.0,3.4,10.2,20.1,17.0,15.7,48.4,1.0,0.7,6.1,3.7,38.6,482,466,93,373,455,422,329,166,207,502,516,408,339,219,193,513,182,345
505,1631323,Simone Fontecchio,Simone,1610612765,DET,28.0,66,29,37,0.439,1643.8933333333334,2.9,2.7,2.6,6.4,16.7,12.5,17.7,52.4,0.7,1.0,3.2,1.8,37.1,170,213,475,366,168,271,232,253,372,298,135,511,162,335,324,167,440,380
506,1630219,Skylar Mays,Skylar,1610612747,LAL,26.0,38,14,24,0.368,433.27166666666665,2.5,3.1,1.2,8.4,17.6,13.2,19.8,55.6,0.4,1.1,2.9,2.0,43.1,361,361,282,412,375,341,176,443,274,362,201,548,74,425,363,120,411,257
507,203915,Spencer Dinwiddie,Spencer,1610612747,LAL,31.0,76,38,38,0.5,2152.4083333333333,1.2,1.4,1.7,5.2,14.3,14.1,14.8,50.7,0.5,0.4,3.1,3.2,38.0,61,124,488,300,74,494,440,385,431,88,336,334,227,400,100,152,242,360
508,1630649,Stanley Umude,Stanley,1610612765,DET,25.0,24,4,20,0.167,307.12166666666667,2.5,0.8,3.9,3.4,21.6,10.6,15.9,51.3,1.1,0.6,6.3,3.3,36.8,416,482,237,530,411,346,500,115,500,528,49,431,203,200,166,519,235,385
509,201939,Stephen Curry,Stephen,1610612744,GSW,36.0,74,43,31,0.581,2421.5383333333334,5.2,3.8,3.4,8.6,18.0,12.9,16.1,50.1,0.6,1.0,2.3,5.3,58.6,87,79,406,205,38,34,114,168,268,391,167,445,258,367,317,61,79,50
510,1629004,Svi Mykhailiuk,Svi,1610612738,BOS,26.0,41,32,9,0.78,413.16333333333336,2.6,1.3,3.5,3.3,16.0,11.5,12.5,46.5,0.1,0.5,2.2,1.4,34.8,346,183,118,23,381,337,466,157,506,228,75,113,429,514,116,54,483,431
511,204456,T.J. McConnell,T.J.,1610612754,IND,32.0,71,40,31,0.563,1290.9766666666667,2.9,1.4,1.5,18.8,16.0,15.0,13.2,58.1,0.3,1.5,2.9,3.9,62.2,118,110,406,241,216,274,446,413,24,227,424,173,39,471,460,131,164,24
512,203933,T.J. Warren,T.J.,1610612750,MIN,30.0,11,7,4,0.636,124.67333333333333,4.6,3.5,3.1,7.7,13.9,9.6,16.2,53.1,0.4,0.4,4.2,0.8,35.4,485,440,45,108,461,61,138,194,306,72,28,451,141,446,90,357,529,418
513,201959,Taj Gibson,Taj,1610612765,DET,38.0,20,8,12,0.4,204.50333333333333,1.2,1.4,0.0,4.2,11.3,8.9,13.6,39.9,1.6,0.7,7.3,0.7,28.1,439,423,138,385,435,496,450,518,471,21,24,216,541,104,202,550,531,530
514,1629659,Talen Horton-Tucker,Talen,1610612762,UTA,23.0,51,14,37,0.275,1008.6983333333334,2.9,1.8,3.9,11.1,19.5,15.0,15.5,48.5,0.9,1.3,4.5,3.8,50.1,284,361,475,464,264,269,374,116,174,479,420,396,329,252,418,382,177,140
515,1631106,Tari Eason,Tari,1610612745,HOU,22.0,22,12,10,0.545,480.105,5.1,4.3,4.9,12.6,14.1,14.2,8.6,44.8,1.9,1.7,5.1,2.4,56.9,427,384,130,270,364,38,86,42,124,81,346,24,494,77,506,447,356,62
516,1627752,Taurean Prince,Taurean,1610612747,LAL,30.0,78,44,34,0.564,2107.6216666666664,2.1,0.6,2.6,4.5,16.5,15.0,17.7,52.3,0.8,0.6,3.3,1.5,30.9,43,72,446,237,81,409,510,245,461,280,422,513,168,278,173,183,467,492
517,1641707,Taylor Hendricks,Taylor,1610612762,UTA,20.0,40,13,27,0.325,856.4316666666666,2.1,3.3,2.4,5.8,21.0,14.6,19.7,51.5,1.7,0.7,4.3,1.2,39.7,349,377,344,443,296,418,151,294,396,520,387,545,195,97,188,368,502,323
518,1631386,Taze Moore,Taze,1610612757,POR,25.0,4,1,3,0.25,40.333333333333336,6.0,6.0,2.4,16.7,17.9,20.2,20.2,50.0,0.0,0.0,4.8,3.6,45.3,542,538,39,474,528,12,23,291,49,379,552,553,268,520,1,414,208,205
519,1629611,Terance Mann,Terance,1610612746,LAC,27.0,75,47,28,0.627,1872.8916666666667,2.8,2.1,4.5,9.0,16.6,13.4,14.1,49.4,0.4,0.7,3.7,2.0,32.5,76,45,361,126,129,289,327,63,249,287,226,266,292,447,218,269,406,465
